mobile_name,mobile_price,mobile_color,_sim,disp_size,resolution,os,num_cores,_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
Realme3(DiamondRed32),8499.00,DiamondRed,Sim,15.8,1094400,AndroidPie9,OctaCore,2.1,32,3,132,13,3,Yes,4230,75.6,156.1,8.3,175
Realme3(RadiantBlue64),10499.00,RadiantBlue,Sim,15.8,1094400,AndroidPie9.0,OctaCore,2.1,64,4,132,13,3,Yes,4230,75.6,156.1,8.3,175
Realme3(Black64),10499.00,Black,Sim,15.8,1094400,AndroidPie9.0,OctaCore,2.1,64,4,132,13,3,Yes,4230,75.6,156.1,8.3,175
Redmi8(SapphireBlue64),9799.00,SapphireBlue,Sim,15.8,1094400,AndroidPie9,OctaCore,1.95,64,4,122,8,42,Yes,5000,75.41,156.48,9.4,188
Redmi8(OnyxBlack64),9799.00,OnyxBlack,Sim,15.8,1094400,AndroidPie9,OctaCore,1.95,64,4,122,8,42,Yes,5000,75.41,156.48,9.4,188
RedmiK20Pro(FlameRed128),24999.00,FlameRed,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.84,128,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
RedmiNote9Pro(AuroraBlue64),16999.00,AuroraBlue,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,64,4,48852,16,4,Yes,5020,76.68,165.75,8.8,209
RedmiK20Pro(CarbonBlack128),24999.00,CarbonBlack,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.84,128,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
MiA3(MoreThanWhite128),16939.00,MoreThanWhite,Sim,15.44,1123200,AndroidPie9,OctaCore,2,128,6,4882,32,423,Yes,4030,71.85,153.48,8.475,173.8
RedmiK20Pro(lacierBlue128),24999.00,lacierBlue,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.84,128,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
RedmiNote7Pro(SpaceBlack128),16999.00,SpaceBlack,Sim,16,2527200,AndroidPie9.0,OctaCore,2,128,6,485,13,3,Yes,4000,75.21,159.21,8.1,186
MiA3(NotjustBlue128),14999.00,NotjustBlue,Sim,15.44,1123200,AndroidPie9,OctaCore,2,128,6,4882,32,423,Yes,4030,71.85,153.48,8.475,173.8
MiMix2(Black128),16999.00,Black,Sim,15.21,2332800,AndroidNouat7.1.1,OctaCore,2.5,128,6,12,5,3,Yes,3400,75.49,151.86,7.7,185
RedmiK20Pro(PearlWhite128),24999.00,PearlWhite,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.84,128,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
MiA3(Kindofrey128),17350.00,Kindofrey,Sim,15.44,1123200,AndroidPie9,OctaCore,2,128,6,4882,32,423,Yes,4030,71.85,153.48,8.475,173.8
RedmiK20Pro(CarbonBlack256),29999.00,CarbonBlack,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.84,256,8,48138,20,3,Yes,4000,74.3,156.7,8.8,191
RedmiNote7Pro(NebulaRed128),13999.00,NebulaRed,Sim,16,2527200,AndroidPie9.0,OctaCore,2,128,6,485,13,3,Yes,4000,75.21,159.21,8.1,186
RedmiK20(CarbonBlack64),21999.00,CarbonBlack,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.2,64,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
RedmiY2(old64),13495.00,old,Sim,15.21,1036800,AndroidOreo8.0,OctaCore,2,64,4,125,16,342,Yes,3080,77.26,160.73,8.1,168
RedmiK20Pro(PearlWhite256),29999.00,PearlWhite,Sim,16.23,2527200,AndroidPie9,OctaCore,2.84,256,8,48138,20,3,Yes,4000,74.3,156.7,8.8,
RedmiK20(lacierBlue128),24999.00,lacierBlue,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.2,128,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
